name	coverage	calc	target	year	steps	gates	len	offset	cutlet_idx	day_cutlet	month_idx	day_month	months	Nbits	width
y5000-start	year-boundary/start	2461290	2458961	5000	0	31473:31479	4047	0	5	1	5	1	37	20582	163
month-last-opens	month-first-appearance-boundary	2461290	2459119	5000	0	31473:31479	4047	158	5	159	44	1	37	20582	163
cutlet-0-end	cutlet-boundary/end	2461290	2459239	5000	0	31473:31479	4047	278	5	279	20	7	37	20582	163
cutlet-1-start	cutlet-boundary/start	2461290	2459240	5000	0	31473:31479	4047	279	9	1	19	15	37	20582	163
same-query	c=t/year-5000-witness	2461290	2461290	5000	0	31473:31479	4047	2329	14	337	39	69	37	20582	163
y5000-mid	year-5000/interior	2461290	2460984	5000	0	31473:31479	4047	2023	14	31	18	68	37	20582	163
month-0-final	month-final-appearance-boundary	2461290	2462908	5000	0	31473:31479	4047	3947	13	425	5	117	37	20582	163
after-month-0-final	month-final-appearance+1	2461290	2462909	5000	0	31473:31479	4047	3948	13	426	1	107	37	20582	163
y5000-end	year-boundary/end	2461290	2463007	5000	0	31473:31479	4047	4046	13	524	44	111	37	20582	163
y5001-start	year-boundary/next-start,t>c	2461290	2463008	5001	1	31479:31486	3289	0	1	1	46	1	27	15331	121
far-past	t<c,historical-hard-witness-region	2461290	-12829630	1460	3540	974:983	4832	2683	11	214	6	66	45	25905	204
forward	t>c,positive-corpus-forward	2461290	6700000	5994	994	39936:39944	5410	4854	6	109	18	115	47	29406	232
